EmployeeID,FirstName,LastName,Department,Cluster,Age,Salary,JobSatisfaction,PerformanceScore
3012-1A41,Leonelle,Simco,Sales,2,30,102059,3.0,3.0
3012-1A41,Leonelle,Simco,Sales,0,30,102059,4.0,2.5
3012-1A41,Leonelle,Simco,Sales,0,30,102059,5.0,5.0
3012-1A41,Leonelle,Simco,Sales,2,30,102059,3.0,4.5
3012-1A41,Leonelle,Simco,Sales,2,30,102059,4.0,3.5
3012-1A41,Leonelle,Simco,Sales,2,30,102059,2.0,4.5
3012-1A41,Leonelle,Simco,Sales,0,30,102059,5.0,3.0
3012-1A41,Leonelle,Simco,Sales,2,30,102059,2.0,4.5
3012-1A41,Leonelle,Simco,Sales,0,30,102059,5.0,4.0
CBCB-9C9D,Leonerd,Aland,Sales,2,38,157718,3.0,4.0
CBCB-9C9D,Leonerd,Aland,Sales,0,38,157718,5.0,3.5
CBCB-9C9D,Leonerd,Aland,Sales,2,38,157718,2.0,5.0
CBCB-9C9D,Leonerd,Aland,Sales,2,38,157718,3.0,3.5
CBCB-9C9D,Leonerd,Aland,Sales,0,38,157718,5.0,4.0
CBCB-9C9D,Leonerd,Aland,Sales,2,38,157718,2.0,3.0
CBCB-9C9D,Leonerd,Aland,Sales,0,38,157718,3.0,4.0
CBCB-9C9D,Leonerd,Aland,Sales,0,38,157718,4.0,4.5
CBCB-9C9D,Leonerd,Aland,Sales,2,38,157718,3.0,5.0
95D7-1CE9,Ahmed,Sykes,Human Resources,2,43,309964,3.0,2.5
95D7-1CE9,Ahmed,Sykes,Human Resources,0,43,309964,4.0,4.0
95D7-1CE9,Ahmed,Sykes,Human Resources,0,43,309964,4.0,2.5
95D7-1CE9,Ahmed,Sykes,Human Resources,2,43,309964,2.0,4.0
95D7-1CE9,Ahmed,Sykes,Human Resources,2,43,309964,4.0,3.0
95D7-1CE9,Ahmed,Sykes,Human Resources,2,43,309964,2.0,2.5
95D7-1CE9,Ahmed,Sykes,Human Resources,0,43,309964,4.0,3.5
95D7-1CE9,Ahmed,Sykes,Human Resources,0,43,309964,5.0,3.5
95D7-1CE9,Ahmed,Sykes,Human Resources,0,43,309964,4.0,4.0
