EmployeeID,FirstName,LastName,Gender,Age,BusinessTravel,Department,DistanceFromHome (KM),State,Ethnicity,Education,EducationField,JobRole,MaritalStatus,Salary,StockOptionLevel,OverTime,HireDate,Attrition,YearsAtCompany,YearsInMostRecentRole,YearsSinceLastPromotion,YearsWithCurrManager,EducationLevelID,EducationLevel,PerformanceID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating,AgeGroup,SalaryRange,PerformanceScore,OverallSatisfaction,TrainingUtilization,TenureCategory,PerformanceCategory,AttritionRisk
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR1295,2016-10-30,3.0,3.0,2.0,3.0,0.0,4.0,3.0,3.0,Under 30,Low,3.0,2.6666666666666665,0.0,Mid Career,Meets Expectations,1.5
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR1908,2017-10-30,4.0,4.0,5.0,3.0,1.0,2.0,3.0,2.0,Under 30,Low,2.5,4.333333333333333,0.3333333333333333,Mid Career,Meets Expectations,1.1000000000000003
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR2617,2018-10-30,5.0,5.0,4.0,3.0,0.0,4.0,5.0,5.0,Under 30,Low,5.0,4.666666666666667,0.0,Mid Career,Outstanding,0.29999999999999993
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR3436,2019-10-30,1.0,3.0,2.0,3.0,1.0,3.0,5.0,4.0,Under 30,Low,4.5,2.0,0.3333333333333333,Mid Career,Outstanding,1.9
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR411,2014-10-31,3.0,4.0,2.0,1.0,0.0,3.0,4.0,3.0,Under 30,Low,3.5,3.0,0.0,Mid Career,Exceeds Expectations,1.2999999999999998
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR4378,2020-10-29,3.0,2.0,5.0,1.0,0.0,3.0,5.0,4.0,Under 30,Low,4.5,3.3333333333333335,0.0,Mid Career,Outstanding,1.7999999999999998
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR5415,2021-10-29,4.0,5.0,4.0,1.0,0.0,4.0,3.0,3.0,Under 30,Low,3.0,4.333333333333333,0.0,Mid Career,Meets Expectations,0.40000000000000013
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR6529,2022-10-29,4.0,2.0,4.0,1.0,0.0,2.0,5.0,4.0,Under 30,Low,4.5,3.3333333333333335,0.0,Mid Career,Outstanding,2.0
3012-1A41,Leonelle,Simco,Female,30,Some Travel,Sales,27,IL,White,5,Marketing,Sales Executive,Divorced,102059,1,No,2012-01-03,No,10,4,9,7,5,Doctorate,PR791,2015-10-31,5.0,5.0,2.0,2.0,1.0,5.0,4.0,4.0,Under 30,Low,4.0,4.0,0.5,Mid Career,Exceeds Expectations,0.3
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters ,PR1213,2016-07-30,3.0,3.0,2.0,2.0,0.0,5.0,4.0,4.0,30-40,Below Average,4.0,2.6666666666666665,0.0,Mid Career,Exceeds Expectations,1.3
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters ,PR1800,2017-07-30,3.0,5.0,5.0,2.0,0.0,2.0,4.0,3.0,30-40,Below Average,3.5,4.333333333333333,0.0,Mid Career,Exceeds Expectations,0.8000000000000002
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters ,PR2477,2018-07-30,5.0,2.0,5.0,2.0,0.0,2.0,5.0,5.0,30-40,Below Average,5.0,4.0,0.0,Mid Career,Outstanding,1.8
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters ,PR3267,2019-07-30,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,30-40,Below Average,3.5,3.6666666666666665,0.6666666666666666,Mid Career,Exceeds Expectations,1.4
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters ,PR376,2014-07-31,5.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,30-40,Below Average,4.0,4.666666666666667,0.6666666666666666,Mid Career,Exceeds Expectations,0.49999999999999994
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters ,PR4176,2020-07-29,3.0,2.0,2.0,2.0,0.0,2.0,3.0,3.0,30-40,Below Average,3.0,2.3333333333333335,0.0,Mid Career,Meets Expectations,2.3
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters ,PR5192,2021-07-29,5.0,3.0,4.0,2.0,1.0,4.0,4.0,4.0,30-40,Below Average,4.0,4.0,0.5,Mid Career,Exceeds Expectations,1.1
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters ,PR6295,2022-07-29,3.0,4.0,4.0,3.0,0.0,2.0,5.0,4.0,30-40,Below Average,4.5,3.6666666666666665,0.0,Mid Career,Outstanding,1.3000000000000003
CBCB-9C9D,Leonerd,Aland,Male,38,Some Travel,Sales,23,CA,White,4,Marketing,Sales Executive,Single,157718,0,Yes,2012-01-04,No,10,6,10,0,4,Masters ,PR741,2015-07-31,4.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,30-40,Below Average,5.0,3.6666666666666665,0.6666666666666666,Mid Career,Outstanding,1.2000000000000002
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,4,Masters ,PR1035,2016-04-08,3.0,3.0,2.0,1.0,0.0,2.0,3.0,2.0,40-50,Average,2.5,2.6666666666666665,0.0,Mid Career,Meets Expectations,1.9000000000000004
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,4,Masters ,PR1583,2017-04-08,4.0,4.0,3.0,2.0,2.0,5.0,4.0,4.0,40-50,Average,4.0,3.6666666666666665,1.0,Mid Career,Exceeds Expectations,0.7
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,4,Masters ,PR2235,2018-04-08,5.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,40-50,Average,2.5,4.333333333333333,1.0,Mid Career,Meets Expectations,0.5000000000000001
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,4,Masters ,PR280,2014-04-09,5.0,2.0,3.0,1.0,0.0,2.0,4.0,4.0,40-50,Average,4.0,3.3333333333333335,0.0,Mid Career,Exceeds Expectations,2.0
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,4,Masters ,PR2981,2019-04-08,3.0,4.0,2.0,3.0,0.0,2.0,3.0,3.0,40-50,Average,3.0,3.0,0.0,Mid Career,Meets Expectations,1.5
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,4,Masters ,PR3851,2020-04-07,4.0,2.0,3.0,3.0,0.0,5.0,3.0,2.0,40-50,Average,2.5,3.0,0.0,Mid Career,Meets Expectations,1.5
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,4,Masters ,PR4841,2021-04-07,4.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,40-50,Average,3.5,3.6666666666666665,0.6666666666666666,Mid Career,Exceeds Expectations,0.9
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,4,Masters ,PR5918,2022-04-07,4.0,5.0,3.0,3.0,0.0,4.0,4.0,3.0,40-50,Average,3.5,4.0,0.0,Mid Career,Exceeds Expectations,0.5
95D7-1CE9,Ahmed,Sykes,Male,43,Some Travel,Human Resources,29,CA,Asian or Asian American,4,Marketing ,HR Business Partner,Married,309964,1,No,2012-01-04,No,10,6,10,8,4,Masters ,PR599,2015-04-09,3.0,4.0,3.0,1.0,0.0,5.0,4.0,4.0,40-50,Average,4.0,3.3333333333333335,0.0,Mid Career,Exceeds Expectations,0.7999999999999999
47A0-559B,Ermentrude,Berrie,Non-Binary,39,Some Travel,Technology,12,IL,White,3,Computer Science,Engineering Manager,Married,293132,0,No,2012-01-05,No,10,10,10,0,3,Bachelors ,PR1016,2016-03-27,3.0,5.0,3.0,3.0,0.0,2.0,3.0,3.0,30-40,Average,3.0,3.6666666666666665,0.0,Mid Career,Meets Expectations,1.0
